state,year,total_respondents,race_missing_n,race_missing_pct
Texas,2022,14245,624,4.38
Texas,2023,10059,360,3.58
Utah,2019,11792,211,1.79
Utah,2020,10921,215,1.97
Utah,2021,10621,253,2.38
Utah,2022,9826,249,2.53
Utah,2023,11154,230,2.06
Vermont,2019,6457,137,2.12
Vermont,2020,6540,126,1.93
Vermont,2021,6580,149,2.26
Vermont,2022,8811,259,2.94
Vermont,2023,7636,144,1.89
Virgin Islands,2021,1382,50,3.62
Virgin Islands,2022,1531,70,4.57
Virgin Islands,2023,2064,54,2.62
Virginia,2019,9952,236,2.37
Virginia,2020,9552,249,2.61
Virginia,2021,9902,255,2.58
Virginia,2022,10417,358,3.44
Virginia,2023,6981,138,1.98
Washington,2019,12993,321,2.47
Washington,2020,12902,317,2.46
Washington,2021,13142,381,2.9
Washington,2022,26152,938,3.59
Washington,2023,26444,612,2.31
West Virginia,2019,5301,137,2.58
West Virginia,2020,5880,168,2.86
West Virginia,2021,6744,140,2.08
West Virginia,2022,4981,88,1.77
West Virginia,2023,4339,48,1.11
Wisconsin,2019,4951,61,1.23
Wisconsin,2020,5099,91,1.78
Wisconsin,2021,6106,99,1.62
Wisconsin,2022,11276,278,2.47
Wisconsin,2023,12819,183,1.43
Wyoming,2019,4630,136,2.94
Wyoming,2020,4802,121,2.52
Wyoming,2021,4413,142,3.22
Wyoming,2022,4142,119,2.87
Wyoming,2023,4484,110,2.45
