state,year,diabetes_prevalence_pct,n
Oklahoma,2020,12.95,5030
Oklahoma,2021,12.85,5440
Oklahoma,2022,13.29,5754
Oklahoma,2023,12.42,6701
Oregon,2019,8.59,6101
Oregon,2020,9.5,5414
Oregon,2021,9.59,5364
Oregon,2022,10.33,5744
Oregon,2023,10.88,6222
Pennsylvania,2019,10.8,6599
Pennsylvania,2020,11.42,5534
Pennsylvania,2021,11.08,6402
Pennsylvania,2022,11.47,4569
Puerto Rico,2019,16.69,6022
Puerto Rico,2020,15.75,4931
Puerto Rico,2021,16.75,4000
Puerto Rico,2022,17.74,5494
Puerto Rico,2023,19.75,4589
Rhode Island,2019,10.42,6098
Rhode Island,2020,10.34,5365
Rhode Island,2021,10.44,5595
Rhode Island,2022,11.52,5882
Rhode Island,2023,11.77,5772
South Carolina,2019,13.38,7129
South Carolina,2020,13.59,4008
South Carolina,2021,13.73,10030
South Carolina,2022,12.88,10020
South Carolina,2023,14.91,10016
South Dakota,2019,10.61,6614
South Dakota,2020,7.92,6919
South Dakota,2021,10.79,7267
South Dakota,2022,9.11,7394
South Dakota,2023,11.79,5869
Tennessee,2019,13.77,6225
Tennessee,2020,14.12,4653
Tennessee,2021,14.0,4771
Tennessee,2022,14.77,5253
Tennessee,2023,14.55,5634
Texas,2019,12.24,12267
Texas,2020,12.56,11008
Texas,2021,11.47,10786
Texas,2022,13.9,14202
Texas,2023,12.74,10035
Utah,2019,8.02,11773
Utah,2020,8.22,10906
Utah,2021,7.96,10600
Utah,2022,8.73,9809
Utah,2023,7.81,11122
Vermont,2019,8.67,6449
Vermont,2020,7.87,6526
Vermont,2021,8.51,6567
Vermont,2022,8.39,8799
Vermont,2023,9.33,7627
Virgin Islands,2021,14.91,1379
Virgin Islands,2022,15.93,1524
Virgin Islands,2023,16.61,2057
Virginia,2019,10.92,9935
Virginia,2020,11.07,9533
Virginia,2021,11.45,9858
Virginia,2022,12.75,10401
Virginia,2023,11.82,6960
Washington,2019,9.4,12974
Washington,2020,8.63,12877
Washington,2021,8.73,13126
Washington,2022,9.66,26103
Washington,2023,9.57,26401
West Virginia,2019,15.65,5290
West Virginia,2020,15.7,5875
West Virginia,2021,15.86,6734
West Virginia,2022,17.41,4973
West Virginia,2023,18.17,4330
Wisconsin,2019,8.67,4944
Wisconsin,2020,8.88,5093
Wisconsin,2021,9.12,6098
Wisconsin,2022,10.26,11244
Wisconsin,2023,11.25,12790
Wyoming,2019,7.83,4627
Wyoming,2020,8.53,4792
Wyoming,2021,8.79,4407
Wyoming,2022,9.34,4138
Wyoming,2023,10.77,4471
