year,race_label,educa_code,educa_label,diabetes_prevalence_pct,n
2021,Black NH,5,Some college/tech school,15.49,9191
2021,Black NH,6,College graduate,11.25,10854
2021,Hispanic,1,Never attended school,35.61,405
2021,Hispanic,2,Elementary (Grades 1–8),20.74,4467
2021,Hispanic,3,Some high school,13.14,3710
2021,Hispanic,4,High school graduate,10.24,10773
2021,Hispanic,5,Some college/tech school,9.23,8870
2021,Hispanic,6,College graduate,8.08,9810
2021,Multiracial NH,1,Never attended school,30.72,6
2021,Multiracial NH,2,Elementary (Grades 1–8),19.1,106
2021,Multiracial NH,3,Some high school,10.86,425
2021,Multiracial NH,4,High school graduate,9.63,2492
2021,Multiracial NH,5,Some college/tech school,10.76,2901
2021,Multiracial NH,6,College graduate,8.54,3262
2021,NHPI NH,1,Never attended school,4.96,5
2021,NHPI NH,2,Elementary (Grades 1–8),18.19,18
2021,NHPI NH,3,Some high school,14.76,86
2021,NHPI NH,4,High school graduate,9.04,815
2021,NHPI NH,5,Some college/tech school,14.0,540
2021,NHPI NH,6,College graduate,10.68,514
2021,Other NH,1,Never attended school,35.84,10
2021,Other NH,2,Elementary (Grades 1–8),26.68,69
2021,Other NH,3,Some high school,6.65,161
2021,Other NH,4,High school graduate,9.62,926
2021,Other NH,5,Some college/tech school,15.89,1097
2021,Other NH,6,College graduate,8.65,1618
2021,White NH,1,Never attended school,9.4,93
2021,White NH,2,Elementary (Grades 1–8),19.42,2580
2021,White NH,3,Some high school,14.33,9305
2021,White NH,4,High school graduate,12.17,79988
2021,White NH,5,Some college/tech school,11.53,90135
2021,White NH,6,College graduate,7.15,139254
2022,AIAN NH,1,Never attended school,0.0,4
2022,AIAN NH,2,Elementary (Grades 1–8),41.45,151
2022,AIAN NH,3,Some high school,24.98,571
2022,AIAN NH,4,High school graduate,15.77,2268
2022,AIAN NH,5,Some college/tech school,15.84,2232
2022,AIAN NH,6,College graduate,14.3,1675
2022,Asian NH,1,Never attended school,2.42,18
2022,Asian NH,2,Elementary (Grades 1–8),10.66,92
2022,Asian NH,3,Some high school,14.15,195
2022,Asian NH,4,High school graduate,12.64,2021
2022,Asian NH,5,Some college/tech school,10.1,2385
2022,Asian NH,6,College graduate,8.92,8489
2022,Black NH,1,Never attended school,28.39,35
2022,Black NH,2,Elementary (Grades 1–8),35.22,559
2022,Black NH,3,Some high school,19.06,2177
2022,Black NH,4,High school graduate,16.27,10487
2022,Black NH,5,Some college/tech school,16.14,9873
2022,Black NH,6,College graduate,12.35,12057
2022,Hispanic,1,Never attended school,23.5,452
2022,Hispanic,2,Elementary (Grades 1–8),24.26,4793
2022,Hispanic,3,Some high school,16.64,3903
2022,Hispanic,4,High school graduate,10.01,11779
2022,Hispanic,5,Some college/tech school,10.08,9889
2022,Hispanic,6,College graduate,8.19,11678
2022,Multiracial NH,1,Never attended school,9.38,10
2022,Multiracial NH,2,Elementary (Grades 1–8),32.9,90
2022,Multiracial NH,3,Some high school,13.89,459
2022,Multiracial NH,4,High school graduate,11.13,2460
2022,Multiracial NH,5,Some college/tech school,11.09,3175
2022,Multiracial NH,6,College graduate,9.02,3329
2022,NHPI NH,1,Never attended school,2.57,3
2022,NHPI NH,2,Elementary (Grades 1–8),11.98,30
2022,NHPI NH,3,Some high school,26.39,141
2022,NHPI NH,4,High school graduate,16.69,982
2022,NHPI NH,5,Some college/tech school,15.87,595
2022,NHPI NH,6,College graduate,10.78,641
2022,White NH,1,Never attended school,14.7,117
2022,White NH,2,Elementary (Grades 1–8),20.52,2298
2022,White NH,3,Some high school,16.52,8900
2022,White NH,4,High school graduate,12.5,75781
2022,White NH,5,Some college/tech school,12.06,88297
2022,White NH,6,College graduate,7.94,143678
2023,AIAN NH,1,Never attended school,26.43,8
2023,AIAN NH,2,Elementary (Grades 1–8),14.99,132
2023,AIAN NH,3,Some high school,15.5,535
2023,AIAN NH,4,High school graduate,12.52,2163
2023,AIAN NH,5,Some college/tech school,16.03,2182
2023,AIAN NH,6,College graduate,14.86,1728
2023,Asian NH,1,Never attended school,6.98,15
2023,Asian NH,2,Elementary (Grades 1–8),20.37,83
2023,Asian NH,3,Some high school,15.91,177
2023,Asian NH,4,High school graduate,11.26,1780
2023,Asian NH,5,Some college/tech school,7.32,2131
2023,Asian NH,6,College graduate,9.99,7763
2023,Black NH,1,Never attended school,47.84,29
2023,Black NH,2,Elementary (Grades 1–8),25.01,486
2023,Black NH,3,Some high school,23.37,1971
2023,Black NH,4,High school graduate,16.64,9580
2023,Black NH,5,Some college/tech school,15.92,9033
2023,Black NH,6,College graduate,12.58,11545
2023,Hispanic,1,Never attended school,33.04,518
2023,Hispanic,2,Elementary (Grades 1–8),19.72,5137
2023,Hispanic,3,Some high school,15.61,4208
2023,Hispanic,4,High school graduate,9.71,12309
2023,Hispanic,5,Some college/tech school,11.66,9488
2023,Hispanic,6,College graduate,8.07,11203
2023,Multiracial NH,1,Never attended school,28.33,4
2023,Multiracial NH,2,Elementary (Grades 1–8),20.83,96
2023,Multiracial NH,3,Some high school,11.82,450
2023,Multiracial NH,4,High school graduate,9.13,2668
2023,Multiracial NH,5,Some college/tech school,11.16,3200
2023,Multiracial NH,6,College graduate,7.58,3658
2023,NHPI NH,1,Never attended school,0.0,4
2023,NHPI NH,2,Elementary (Grades 1–8),28.65,23
2023,NHPI NH,3,Some high school,21.35,120
2023,NHPI NH,4,High school graduate,11.85,849
2023,NHPI NH,5,Some college/tech school,12.65,538
2023,NHPI NH,6,College graduate,12.26,549
2023,Other NH,1,Never attended school,0.0,3
2023,Other NH,2,Elementary (Grades 1–8),37.08,60
2023,Other NH,3,Some high school,31.19,133
2023,Other NH,4,High school graduate,12.22,766
2023,Other NH,5,Some college/tech school,7.84,923
2023,Other NH,6,College graduate,11.45,1412
2023,White NH,1,Never attended school,37.06,74
2023,White NH,2,Elementary (Grades 1–8),20.86,1975
2023,White NH,3,Some high school,16.8,8117
2023,White NH,4,High school graduate,12.68,74166
2023,White NH,5,Some college/tech school,12.42,84351
2023,White NH,6,College graduate,8.01,143048
