year,race_label,income_group,diabetes_prevalence_pct,n
2023,AIAN NH,Middle ($25–50k),15.28,1844
2023,AIAN NH,Upper-middle ($50–75k),11.75,800
2023,AIAN NH,High (>$75k),12.26,1453
2023,Asian NH,Low (<$25k),16.7,1044
2023,Asian NH,Middle ($25–50k),11.36,1828
2023,Asian NH,Upper-middle ($50–75k),9.81,1360
2023,Asian NH,High (>$75k),9.32,5223
2023,Black NH,Low (<$25k),23.25,5779
2023,Black NH,Middle ($25–50k),17.75,7988
2023,Black NH,Upper-middle ($50–75k),17.27,4236
2023,Black NH,High (>$75k),11.1,8067
2023,Hispanic,Low (<$25k),17.14,10122
2023,Hispanic,Middle ($25–50k),12.35,10893
2023,Hispanic,Upper-middle ($50–75k),10.59,4332
2023,Hispanic,High (>$75k),7.76,8295
2023,Multiracial NH,Low (<$25k),14.46,1427
2023,Multiracial NH,Middle ($25–50k),12.67,2161
2023,Multiracial NH,Upper-middle ($50–75k),10.55,1381
2023,Multiracial NH,High (>$75k),6.37,3373
2023,NHPI NH,Low (<$25k),22.93,323
2023,NHPI NH,Middle ($25–50k),12.87,532
2023,NHPI NH,Upper-middle ($50–75k),16.07,271
2023,NHPI NH,High (>$75k),8.92,635
2023,Other NH,Low (<$25k),16.13,458
2023,Other NH,Middle ($25–50k),15.14,650
2023,Other NH,Upper-middle ($50–75k),13.91,374
2023,Other NH,High (>$75k),7.22,951
2023,White NH,Low (<$25k),19.13,28480
2023,White NH,Middle ($25–50k),15.18,58580
2023,White NH,Upper-middle ($50–75k),11.49,44268
2023,White NH,High (>$75k),7.98,122483
